Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1623,Primary,CC(=O)NC(CS)C(=O)O,92.04067,88.12411,1.3679199219999998,0.239678383,0.6752251979999999,0.153723672,1.24460721,0.051776662,0.884883523,0.041542113,1.13317883,0.058182742,1.148532391,0.175599471,0.951624393,0.0360918339999999,1.2485686539999998,0.1455011815209708,0.8372443713333332,0.0942679425311204
S1629,Primary,CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,95.27637,92.61616,1.070456862,0.141449034,1.072253466,0.055409163,0.901555657,0.0498467609999999,1.074297428,0.035103567,1.019110441,0.09316998,1.111719966,0.168942511,0.931194305,0.250232935,0.9970409866666666,0.1019365390409226,1.0259150663333332,0.1493530018883654
S1630,Primary,O=c1ncnc2[nH][nH]cc1-2,96.05482,91.73363,0.941467524,0.180958018,0.961605489,0.093525305,1.077378869,0.052254271,0.975950897,0.046288788,1.033345342,0.063329548,1.261840105,0.196299955,1.042651653,0.075386338,1.017397245,0.1147271324580111,0.9934026796666666,0.074325263822611
S1633,Primary,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,95.07627,91.83409,1.531638861,0.212887391,0.88149488,0.045523379,1.08045125,0.0527774509999999,1.044938326,0.0437442209999999,1.092334747,0.045388591,1.1486433740000002,0.174122125,0.98303771,0.038153619,1.234808286,0.1293143776149292,0.9698236386666668,0.0425896448653567
S1638,Primary,CC(C)Cc1ccc(C(C)C(=O)O)cc1,96.92355,92.34702,0.986966133,0.152258113,1.020208597,0.089369796,1.055237293,0.056787964,1.060523868,0.0722108779999999,0.995214939,0.042022459,1.150071144,0.1731132269999999,1.120617747,0.045182485,1.012472788333333,0.0969076758053642,1.0671167373333337,0.0712807320608398
S1639,Primary,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,93.97147,91.85854,1.406999469,0.224934429,0.929518461,0.073789351,1.6036818030000002,0.073533677,1.082738876,0.03833551,1.743008375,0.133211911,1.335202336,0.213093996,1.048271894,0.039757065,1.5845632156666667,0.1567887243341266,1.0201764103333335,0.0532137321417931
S1645,Primary,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,96.71717,93.10438,1.023792148,0.137231871,1.009762526,0.054114327,1.048522234,0.042989068,0.998371363,0.048440389,1.014348984,0.064637505,1.329034567,0.210215136,1.064339519,0.051805377,1.0288877886666663,0.0910286647862351,1.0241578026666665,0.0515060797681412
S1646,Primary,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,96.50076,89.14888,0.8921203609999999,0.119136773,0.955333948,0.12060792,1.037451506,0.046416294,0.955899358,0.035578623,0.993624926,0.086257309,1.235852242,0.188543558,1.0831022259999998,0.064777575,0.974398931,0.0890474899243271,0.998111844,0.0816664823212541
S1651,Primary,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,92.93481,90.00047,1.162698746,0.153227299,0.8765830990000001,0.096142888,1.029673338,0.043515269,0.936909378,0.042845093,1.028431535,0.044237714,1.259582162,0.207154006,1.072497368,0.100853465,1.0736012063333331,0.0954448516769825,0.961996615,0.0841636863690143
S1655,Primary,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,85.35606,87.88209,1.424081802,0.2089121189999999,1.087766767,0.168529853,1.382616162,0.057842795,1.185523748,0.062769145,0.664694726,0.030715361,1.357115984,0.204330668,1.165042162,0.079982392,1.1571308966666665,0.1264034490561109,1.1461108923333334,0.1136360564056354
